date,Formula 1,F1,Bahrain Grand Prix,Emilia Romagna Grand Prix,Portuguese Grand Prix,Spanish Grand Prix,Monaco Grand Prix,Azerbaijan Grand Prix,French Grand Prix,Styrian Grand Prix,Austrian Grand Prix,British Grand Prix,Hungarian Grand Prix,Belgian Grand Prix,Dutch Grand Prix,Italian Grand Prix,Russian Grand Prix,Turkish Grand Prix,United States Grand Prix,Mexico City Grand Prix,São Paulo Grand Prix,Qatar Grand Prix,Saudi Arabian Grand Prix,Abu Dhabi Grand Prix,Australian Grand Prix,Miami Grand Prix,Canadian Grand Prix,Singapore Grand Prix,Japanese Grand Prix,Bahrain International Circuit,Autodromo Enzo e Dino Ferrari,Autódromo Internacional do Algarve,Circuit de Barcelona-Catalunya,Circuit de Monaco,Baku City Circuit,Circuit Paul Ricard,Red Bull Ring,Silverstone Circuit,Hungaroring,Circuit de Spa-Francorchamps,Circuit Park Zandvoort,Autodromo Nazionale di Monza,Sochi Autodrom,Istanbul Park,Circuit of the Americas,Autódromo Hermanos Rodríguez,Autódromo José Carlos Pace,Losail International Circuit,Jeddah Corniche Circuit,Yas Marina Circuit,Albert Park Grand Prix Circuit,Miami International Autodrome,Circuit Gilles Villeneuve,Marina Bay Street Circuit,Suzuka Circuit,Mercedes,Red Bull,McLaren,Ferrari,AlphaTauri,Aston Martin,Alfa Romeo,Alpine F1 Team,Williams,Haas F1 Team,Lewis Hamilton,Max Verstappen,Valtteri Bottas,Lando Norris,Sergio Pérez,Charles Leclerc,Daniel Ricciardo,Carlos Sainz,Yuki Tsunoda,Lance Stroll,Kimi Räikkönen,Antonio Giovinazzi,Esteban Ocon,George Russell,Sebastian Vettel,Mick Schumacher,Pierre Gasly,Nicholas Latifi,Fernando Alonso,Nikita Mazepin,Robert Kubica,Kevin Magnussen,Guanyu Zhou,Alexander Albon,Nico Hülkenberg,Nyck de Vries,geo
2021-01-11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,5,0,0,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,0,0,23,21,0,0,0,0,0,15,19,1,1,4,0,2,2,0,16,0,8,2,0,1,0,3,3,4,0,1,0,0,0,2,2,1,1,0,3,2,1,0,0,1,0,0,WW
2021-01-12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,13,3,0,0,23,0,0,0,0,0,0,0,20,1,1,4,0,2,2,0,17,0,9,3,0,1,0,2,4,4,1,0,0,0,1,2,2,1,1,0,4,1,2,4,0,0,2,0,WW
2021-01-13,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,6,5,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,7,2,0,0,0,26,0,0,0,21,12,0,20,1,1,4,0,2,2,0,16,0,8,2,0,1,0,3,3,4,0,1,0,0,1,2,2,1,1,0,3,1,2,3,2,0,0,0,WW
2021-01-14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,2,0,26,0,0,0,0,20,28,33,0,20,1,1,4,0,1,2,0,17,0,8,2,0,1,0,6,4,3,0,1,0,0,1,2,2,1,1,0,4,0,0,5,2,0,0,0,WW
2021-01-15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,3,6,0,0,0,0,2,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,48,0,0,0,0,0,21,1,1,5,0,2,2,0,18,0,8,2,0,1,0,3,3,5,0,0,0,0,1,2,2,1,1,0,3,1,2,8,0,0,1,0,WW
2021-01-16,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,10,4,5,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,19,0,0,25,38,0,23,2,2,5,0,2,3,0,20,0,8,3,0,1,0,4,4,4,0,1,1,0,0,3,3,1,1,0,4,0,2,4,0,0,0,3,WW
2021-01-17,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,8,0,2,0,4,0,0,7,0,0,3,0,1,0,0,0,0,0,2,0,14,8,42,0,0,0,0,0,0,0,19,18,22,1,1,6,0,2,2,0,22,0,9,3,0,1,0,4,2,3,0,1,1,0,1,2,2,1,1,0,4,1,1,3,1,2,0,0,WW
2021-01-18,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,8,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,23,0,0,0,0,0,25,0,0,0,21,1,1,5,0,2,2,0,22,0,8,2,0,1,0,2,2,2,0,0,1,0,0,1,2,1,1,0,3,1,2,1,0,0,2,0,WW
2021-01-19,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,23,0,22,0,0,15,20,1,1,4,0,2,2,0,20,0,7,2,0,1,0,2,2,2,0,0,0,0,0,2,2,1,1,0,3,0,4,3,0,1,0,0,WW
2021-01-20,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,5,23,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,22,1,1,4,0,2,2,0,17,0,8,2,0,1,0,3,2,2,0,1,0,0,0,2,2,1,0,0,3,0,1,2,0,2,0,0,WW
2021-01-21,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,7,8,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,21,1,1,4,0,1,2,0,18,0,7,2,0,0,0,2,2,2,0,0,0,0,1,2,2,1,1,0,3,0,2,4,1,1,1,4,WW
2021-01-22,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,8,0,4,0,0,0,4,0,0,1,0,1,0,3,0,2,15,0,0,0,48,15,17,0,0,32,0,27,22,1,1,5,0,2,2,0,18,0,7,2,0,1,0,2,3,1,0,1,0,0,0,2,2,1,0,0,3,1,3,3,0,0,0,0,WW
2021-01-23,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,0,6,0,12,5,0,0,5,0,0,0,4,0,0,0,1,0,0,0,0,0,8,0,7,0,0,17,20,0,0,0,0,0,0,0,24,1,1,5,0,2,2,0,21,0,9,3,0,1,0,2,2,2,0,1,0,0,0,3,2,1,1,1,3,0,4,6,3,0,0,0,WW
2021-01-24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,0,42,0,0,0,34,0,0,0,0,23,2,1,5,0,1,3,0,22,0,8,2,0,1,0,2,2,2,0,0,0,0,1,2,2,1,1,1,4,0,3,8,1,2,0,0,WW
2021-01-25,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,12,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,13,0,0,21,2,1,4,0,1,2,0,19,0,8,2,0,1,0,3,2,2,0,0,0,0,1,2,2,1,1,0,4,0,3,5,2,0,0,6,WW
2021-01-26,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,13,0,6,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,12,0,0,21,2,1,4,0,1,2,0,18,0,7,2,0,1,0,3,1,2,1,0,0,0,1,2,1,1,1,0,3,0,4,3,2,0,0,2,WW
2021-01-27,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,6,0,0,0,3,3,0,3,6,0,0,0,0,0,0,0,0,0,5,3,0,11,0,0,0,0,0,24,0,0,11,0,0,20,1,1,5,0,2,2,0,18,0,7,2,0,1,0,3,2,3,1,0,1,0,0,2,18,1,1,1,4,0,3,2,1,1,1,0,WW
2021-01-28,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,10,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,2,0,0,0,26,0,0,0,0,0,35,21,1,1,4,0,2,2,0,18,0,8,2,0,1,0,2,2,4,1,0,0,0,0,1,29,2,0,0,6,0,4,2,0,4,1,0,WW
2021-01-29,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0,0,0,0,4,0,0,3,0,3,0,0,5,0,2,0,1,0,1,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21,1,1,5,0,2,2,0,21,0,7,2,0,1,0,3,2,2,0,0,1,0,1,1,17,3,0,1,3,0,6,3,1,1,0,0,WW
2021-01-30,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,6,0,0,0,0,0,7,5,0,0,0,0,0,0,0,2,8,0,0,41,23,0,0,22,0,0,0,0,23,2,1,5,0,2,3,0,23,0,8,2,0,1,0,3,3,3,1,0,0,0,0,2,8,2,1,0,3,1,12,12,3,4,3,3,WW
2021-01-31,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,11,6,9,10,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,0,0,0,0,0,0,25,0,0,0,15,23,2,1,5,0,2,3,0,37,0,7,2,0,1,0,3,2,2,0,1,0,0,0,3,6,1,3,0,3,1,7,23,0,0,0,2,WW
2021-02-01,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,7,4,4,5,11,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,6,0,15,0,0,0,0,0,0,0,0,21,1,1,5,0,2,2,0,26,0,7,2,0,0,0,2,2,2,0,0,0,0,1,2,4,1,1,0,3,0,3,7,1,2,2,0,WW
2021-02-02,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,44,0,0,0,0,0,0,22,0,21,21,1,1,4,0,2,2,0,22,0,7,2,0,1,0,1,2,3,0,0,0,0,0,2,3,3,0,0,3,0,4,2,0,0,2,0,WW
2021-02-03,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,20,1,1,4,0,2,2,0,20,0,8,2,0,1,0,1,1,2,1,0,0,0,1,2,3,1,1,0,2,0,4,2,0,0,5,8,WW
2021-02-04,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,0,1,1,0,0,0,0,0,0,10,4,21,0,0,0,0,0,37,13,0,0,20,1,1,4,0,2,2,0,20,0,8,2,0,1,0,2,3,1,0,0,0,0,0,2,3,1,1,0,3,1,3,2,0,0,0,3,WW
2021-02-05,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,13,0,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,0,15,0,16,0,0,0,0,0,0,15,22,1,1,5,0,2,2,0,23,0,8,1,0,1,0,2,2,2,0,1,1,0,1,1,4,1,0,0,3,0,2,2,0,0,2,0,WW
2021-02-06,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,3,0,0,0,12,19,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,24,2,1,5,0,2,3,0,23,0,8,2,0,1,0,2,3,2,0,0,1,0,1,2,3,2,1,0,4,2,3,0,0,0,0,0,WW
2021-02-07,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,8,0,4,0,0,0,0,6,5,4,0,0,0,1,0,1,0,0,0,4,14,3,32,0,0,0,41,0,16,0,0,0,22,2,1,5,0,1,2,0,22,0,8,2,0,1,0,2,2,2,0,0,0,0,0,3,2,1,2,0,3,1,4,1,0,1,0,0,WW
2021-02-08,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,8,4,3,2,5,4,0,0,3,0,0,1,0,0,0,0,0,4,9,0,0,0,0,0,0,14,0,0,17,31,20,2,1,4,0,1,2,0,24,0,19,2,0,0,0,1,2,1,0,1,1,0,0,2,2,1,1,0,3,0,4,1,0,0,0,0,WW
2021-02-09,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,6,0,0,0,0,0,0,0,0,19,0,20,1,1,5,0,1,2,0,21,0,10,2,0,0,0,2,2,1,0,1,1,0,0,1,3,1,1,0,3,0,0,3,0,1,0,0,WW
2021-02-10,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,2,0,0,0,0,15,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,25,0,0,0,11,0,0,0,21,1,1,4,0,1,2,0,22,0,5,2,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,3,0,1,2,2,0,0,0,WW
2021-02-11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,10,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,12,0,0,18,0,0,17,0,0,28,0,20,21,1,1,4,0,1,2,0,20,0,5,2,0,1,0,3,3,1,0,1,0,0,0,1,2,1,1,0,90,0,4,1,2,0,0,0,WW
2021-02-12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,7,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,12,4,0,0,0,0,52,0,0,34,24,24,22,1,2,5,0,1,2,0,23,0,5,2,0,1,0,2,2,2,1,0,1,0,1,1,2,1,1,0,100,1,4,1,2,0,0,0,WW
2021-02-13,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,5,0,0,6,7,0,7,0,2,0,0,3,0,0,0,1,1,0,0,0,3,0,0,4,3,0,0,0,0,27,0,0,28,0,0,24,1,2,5,0,2,2,0,22,0,5,2,0,1,0,1,2,1,0,1,1,0,0,2,2,2,0,0,29,0,6,1,0,0,0,0,WW
2021-02-14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,7,6,6,5,4,0,0,0,0,4,0,0,0,1,0,1,0,2,0,0,13,5,28,0,0,0,21,15,0,0,0,0,22,1,1,5,0,1,2,0,29,0,5,3,0,1,0,2,3,1,0,0,1,0,0,3,2,1,1,0,15,0,4,3,0,1,0,5,WW
2021-02-15,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,43,22,1,3,5,0,1,2,0,20,0,5,2,0,2,0,2,5,1,0,1,0,0,0,3,3,1,1,0,12,0,2,1,0,0,1,0,WW
2021-02-16,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,27,0,0,0,22,0,0,38,37,11,21,2,2,4,0,2,2,0,30,0,3,2,0,1,0,1,5,1,0,0,0,0,0,2,2,1,1,0,8,0,2,2,1,0,5,0,WW
2021-02-17,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,4,0,0,0,0,7,7,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,3,0,11,0,37,0,0,0,0,0,0,20,0,0,21,1,2,4,0,1,2,0,23,0,4,2,0,1,0,1,3,1,0,1,0,0,0,1,4,1,1,0,7,0,1,1,0,0,0,0,WW
2021-02-18,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,5,0,11,0,0,8,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,5,72,0,0,0,30,0,0,0,0,0,22,2,2,5,0,2,2,0,36,0,4,2,0,1,0,2,4,1,2,0,0,0,0,1,7,1,1,0,8,0,2,2,0,1,0,0,WW
2021-02-19,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,0,7,6,0,6,0,0,4,0,0,0,0,0,0,0,2,2,8,10,5,0,0,0,0,22,0,0,0,0,14,23,1,2,4,0,1,2,0,23,0,4,2,0,1,0,2,3,1,7,1,1,0,0,1,4,2,3,0,5,1,3,0,0,0,0,0,WW
2021-02-20,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,12,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,30,0,0,0,0,0,23,2,2,5,0,2,3,0,24,0,4,2,0,2,0,3,3,1,3,1,0,0,0,1,2,1,1,1,5,1,1,2,0,0,0,3,WW
2021-02-21,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,4,0,0,5,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,2,10,6,0,35,42,0,0,0,0,15,46,0,24,2,2,5,0,1,3,0,21,0,4,2,0,1,0,2,3,3,2,0,1,0,1,2,3,1,1,0,4,1,2,1,0,0,0,0,WW
2021-02-22,2,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,4,6,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,9,0,0,25,20,19,24,0,0,0,0,0,22,2,1,5,0,1,3,0,19,0,4,1,0,1,0,2,2,2,1,1,0,0,0,1,2,1,1,0,5,1,11,1,1,0,0,0,WW
2021-02-23,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,5,0,0,5,3,4,0,4,0,0,0,0,0,0,0,0,3,12,2,0,0,0,0,0,0,0,0,0,45,23,2,2,4,0,2,2,0,19,0,3,3,0,1,0,2,2,3,1,0,1,0,0,1,3,1,1,0,5,0,3,0,0,1,0,0,WW
2021-02-24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,4,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,10,7,0,0,0,0,0,17,0,0,23,78,22,2,2,4,0,2,2,0,17,0,4,3,0,1,0,2,2,2,1,0,1,0,1,1,2,1,0,0,4,0,3,3,0,0,0,0,WW
2021-02-25,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,3,2,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,1,0,0,0,0,1,0,6,15,5,0,0,0,0,35,0,32,0,0,0,21,2,1,4,0,2,2,0,17,0,4,3,0,0,0,2,2,1,0,0,0,0,1,1,3,1,1,0,4,1,0,2,0,1,0,0,WW
2021-02-26,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,12,0,4,0,0,3,2,3,0,0,3,0,0,3,0,0,0,0,0,0,2,0,12,5,0,0,20,0,26,22,0,20,0,0,22,2,1,5,0,2,2,0,17,0,4,2,0,0,0,3,2,4,1,1,0,1,1,2,2,2,0,0,4,0,1,1,0,1,1,13,WW
2021-02-27,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,5,0,0,0,0,0,12,10,0,5,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,10,38,0,41,0,0,19,0,0,31,0,24,2,1,5,0,2,3,0,20,0,5,2,0,1,0,2,2,4,1,1,0,0,1,1,1,1,1,0,5,1,2,2,0,1,1,4,WW
2021-02-28,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,1,1,0,4,3,3,12,4,56,0,0,0,19,0,0,36,0,0,25,2,2,5,0,2,3,0,20,0,4,2,0,1,0,2,2,3,0,0,0,0,1,1,2,2,1,0,4,0,1,5,0,0,2,7,WW
2021-03-01,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,7,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,12,7,0,0,0,18,23,35,32,0,29,0,21,1,1,4,0,2,2,0,18,0,3,2,0,1,0,2,2,1,0,1,0,0,0,1,2,2,1,0,4,0,2,2,0,0,0,4,WW
2021-03-02,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,7,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,22,1,1,4,0,2,2,0,17,0,5,2,0,1,0,2,2,1,0,1,0,0,0,2,3,2,0,0,6,2,1,2,0,1,2,9,WW
2021-03-03,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,0,0,0,0,0,0,0,0,0,0,22,2,1,5,0,5,2,0,18,0,4,2,0,1,0,2,2,2,0,2,1,0,1,1,6,1,1,0,7,1,4,1,1,2,2,2,WW
2021-03-04,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,2,4,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,7,21,0,0,38,0,0,0,34,0,40,22,1,1,5,0,3,2,0,17,0,4,2,0,1,0,2,2,1,0,1,0,1,1,1,6,3,0,0,8,10,1,4,0,1,1,0,WW
